Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2001-10-01,BEAVER VALLEY 1,0,2001-08-31,REFUELING OUTAGE, , 
2001-10-01,BEAVER VALLEY 2,100, , , , 
2001-10-01,CALVERT CLIFFS 1,100, , , , 
2001-10-01,CALVERT CLIFFS 2,100, , , , 
2001-10-01,FITZPATRICK 1,100, , , , 
2001-10-01,GINNA 1,100, , , , 
2001-10-01,HOPE CREEK 1,95, ,HOLDING FOR MAINTENANCE,*, 
2001-10-01,INDIAN POINT 2,100, , , , 
2001-10-01,INDIAN POINT 3,100, , , , 
2001-10-01,LIMERICK 1,100, , , , 
2001-10-01,LIMERICK 2,100, , , , 
2001-10-01,MILLSTONE 2,100, , , , 
2001-10-01,MILLSTONE 3,100, , , , 
2001-10-01,NINE MILE POINT 1,100, , , , 
2001-10-01,NINE MILE POINT 2,100, , ,*, 
2001-10-01,OYSTER CREEK 1,100, , , , 
2001-10-01,PEACH BOTTOM 2,100, , , , 
2001-10-01,PEACH BOTTOM 3,0,2001-09-14,REFUELING OUTAGE - DEFUELED, , 
2001-10-01,PILGRIM 1,100, , , , 
2001-10-01,SALEM 1,0,2001-09-24,VALVE MAINTENANCE, , 
2001-10-01,SALEM 2,100, , , , 
2001-10-01,SEABROOK 1,100, , , , 
2001-10-01,SUSQUEHANNA 1,100, , , , 
2001-10-01,SUSQUEHANNA 2,100, , , , 
2001-10-01,THREE MILE ISLAND 1,91, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-01,VERMONT YANKEE 1,100, , , , 
2001-10-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-10-01,BROWNS FERRY 2,100, , , , 
2001-10-01,BROWNS FERRY 3,100, , , , 
2001-10-01,BRUNSWICK 1,100, , , , 
2001-10-01,BRUNSWICK 2,100, , , , 
2001-10-01,CATAWBA 1,100, , , , 
2001-10-01,CATAWBA 2,0,2001-09-15,REFUELING OUTAGE - DEFUELED, , 
2001-10-01,CRYSTAL RIVER 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-01,FARLEY 1,94, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-01,FARLEY 2,100, , , , 
2001-10-01,HARRIS 1,0,2001-09-21,REFUELING OUTAGE, , 
2001-10-01,HATCH 1,100, , , , 
2001-10-01,HATCH 2,0,2001-09-15,REFUELING OUTAGE, , 
2001-10-01,MCGUIRE 1,100, , , , 
2001-10-01,MCGUIRE 2,100, , , , 
2001-10-01,NORTH ANNA 1,0,2001-09-08,REFUELING OUTAGE, , 
2001-10-01,NORTH ANNA 2,100, , , , 
2001-10-01,OCONEE 1,100, , , , 
2001-10-01,OCONEE 2,15, ,REDUCED POWER FOR GENERATOR MAINTENANCE, , 
2001-10-01,OCONEE 3,100, , , , 
2001-10-01,ROBINSON 2,100, , , , 
2001-10-01,SAINT LUCIE 1,100, , , , 
2001-10-01,SAINT LUCIE 2,100, , , , 
2001-10-01,SEQUOYAH 1,100, , , , 
2001-10-01,SEQUOYAH 2,100, , , , 
2001-10-01,SUMMER 1,100, , , , 
