Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2015-11-01,Beaver Valley 1,100, , , , 
2015-11-01,Beaver Valley 2,86, ,INCREASING POWER PER POWER ASCENSION PLAN,*, 
2015-11-01,Calvert Cliffs 1,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Calvert Cliffs 2,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,FitzPatrick,100, , , , 
2015-11-01,Ginna,0,2015-10-18,REFUELING OUTAGE, , 
2015-11-01,Hope Creek 1,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Indian Point 2,100, , , , 
2015-11-01,Indian Point 3,100, , , , 
2015-11-01,Limerick 1,100, , , , 
2015-11-01,Limerick 2,100, , , , 
2015-11-01,Millstone 2,0,2015-10-03,REFUELING OUTAGE, , 
2015-11-01,Millstone 3,100, , , , 
2015-11-01,Nine Mile Point 1,100, , , , 
2015-11-01,Nine Mile Point 2,100, , , , 
2015-11-01,Oyster Creek,100, , ,*, 
2015-11-01,Peach Bottom 2,100, ,MAINTAIN < 100 MVARS ON UNIT 2, , 
2015-11-01,Peach Bottom 3,89, ,EPU TESTING HOLD, , 
2015-11-01,Pilgrim 1,100, , , , 
2015-11-01,Salem 1,100, , , , 
2015-11-01,Salem 2,0,2015-10-22,REFUELING OUTAGE,*, 
2015-11-01,Seabrook 1,0,2015-09-30,REFUELING OUTAGE - CORE RELOAD IN PROGRESS,*, 
2015-11-01,Susquehanna 1,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Susquehanna 2,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Three Mile Island 1,0,2015-10-29,REFUELING OUTAGE HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Browns Ferry 1,100, , , , 
2015-11-01,Browns Ferry 2,100, , , , 
2015-11-01,Browns Ferry 3,100, , , , 
2015-11-01,Brunswick 1,97, ,MAX RECIRC FLOW,*, 
2015-11-01,Brunswick 2,100, , , , 
2015-11-01,Catawba 1,100, , , , 
2015-11-01,Catawba 2,100, , , , 
2015-11-01,Farley 1,100, , , , 
2015-11-01,Farley 2,100, , , , 
2015-11-01,Harris 1,100, , ,*, 
2015-11-01,Hatch 1,100, , , , 
2015-11-01,Hatch 2,100, , , , 
2015-11-01,McGuire 1,100, , , , 
2015-11-01,McGuire 2,100, , , , 
2015-11-01,North Anna 1,100, , , , 
2015-11-01,North Anna 2,100, , , , 
2015-11-01,Oconee 1,100, , , , 
2015-11-01,Oconee 2,0,2015-10-16,REFUELING OUTAGE, , 
2015-11-01,Oconee 3,100, , , , 
2015-11-01,Robinson 2,100, , , , 
2015-11-01,Saint Lucie 1,100, , , , 
2015-11-01,Saint Lucie 2,100, , , , 
2015-11-01,Sequoyah 1,100, , , , 
2015-11-01,Sequoyah 2,88, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-11-01,Summer,0,2015-10-02,REFUELING OUTAGE, , 
2015-11-01,Surry 1,0,2015-10-13,FORCED OUTAGE, , 
2015-11-01,Surry 2,0,2015-10-18,REFUELING OUTAGE, , 
2015-11-01,Turkey Point 3,0,2015-10-18,REFUELING OUTAGE, , 
2015-11-01,Turkey Point 4,100, , , , 
2015-11-01,Vogtle 1,99, ,HOLDING POWER FOR HEAT BALANCE, , 
2015-11-01,Vogtle 2,100, , , , 
2015-11-01,Watts Bar 1,100, , , , 
2015-11-01,Watts Bar 2,0, ,OPERATING LICENSE ISSUED 10/22/15 - AWAITING INITIAL CORE LOAD, , 
2015-11-01,Braidwood 1,100, , , , 
2015-11-01,Braidwood 2,100, , , , 
2015-11-01,Byron 1,71, ,LOAD DROP PER DISPATCHER ORDER,*, 
2015-11-01,Byron 2,70, ,LOAD DROP PER DISPATCHER ORDER,*, 
2015-11-01,Clinton,99, ,100% ELECTRICAL GENERATION, , 
2015-11-01,D.C. Cook 1,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,D.C. Cook 2,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Davis-Besse,100, ,HIGH SYSTEM VOLTAGE ACTION,*, 
2015-11-01,Dresden 2,89, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-11-01,Dresden 3,100, , , , 
2015-11-01,Duane Arnold,100, , , , 
2015-11-01,Fermi 2,0,2015-09-13,REFUELING OUTAGE, , 
2015-11-01,La Salle 1,100, , , , 
2015-11-01,La Salle 2,100, , , , 
2015-11-01,Monticello,100, , , , 
2015-11-01,Palisades,100, , , , 
2015-11-01,Perry 1,100, , , , 
2015-11-01,Point Beach 1,100, , , , 
2015-11-01,Point Beach 2,48, ,INCREASING POWER PER POWER ASCENSION PLAN.,*, 
2015-11-01,Prairie Island 1,100, , , , 
2015-11-01,Prairie Island 2,0,2015-10-16,REFUELING OUTAGE, , 
2015-11-01,Quad Cities 1,100, , , , 
2015-11-01,Quad Cities 2,100, , , , 
2015-11-01,Arkansas Nuclear 1,100, , , , 
2015-11-01,Arkansas Nuclear 2,0,2015-09-20,REFUELING OUTAGE - CORE RELOAD IN PROGRESS, , 
2015-11-01,Callaway,100, , , , 
2015-11-01,Columbia Generating Station,100, , , , 
2015-11-01,Comanche Peak 1,100, , , , 
2015-11-01,Comanche Peak 2,0,2015-10-03,REFUELING OUTAGE, , 
2015-11-01,Cooper,100, , , , 
2015-11-01,Diablo Canyon 1,0,2015-10-03,REFUELING OUTAGE - CORE RELOAD COMPLETED, , 
2015-11-01,Diablo Canyon 2,100, , , , 
2015-11-01,Fort Calhoun,100, , , , 
2015-11-01,Grand Gulf 1,100, , , , 
2015-11-01,Palo Verde 1,100, , , , 
2015-11-01,Palo Verde 2,0,2015-10-09,REFUELING OUTAGE - CORE RELOAD IN PROGRESS, , 
2015-11-01,Palo Verde 3,100, , , , 
2015-11-01,River Bend 1,100, , , , 
