Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2002-05-01,BEAVER VALLEY 1,100, , , , 
2002-05-01,BEAVER VALLEY 2,100, , , , 
2002-05-01,CALVERT CLIFFS 1,0,2002-02-15,REFUELING OUTAGE - DEFUELED, , 
2002-05-01,CALVERT CLIFFS 2,100, , , , 
2002-05-01,FITZPATRICK 1,100, , , , 
2002-05-01,GINNA 1,100, , , , 
2002-05-01,HOPE CREEK 1,100, , , , 
2002-05-01,INDIAN POINT 2,100, , , , 
2002-05-01,INDIAN POINT 3,100, , , , 
2002-05-01,LIMERICK 1,100, , , , 
2002-05-01,LIMERICK 2,100, , , , 
2002-05-01,MILLSTONE 2,100, , , , 
2002-05-01,MILLSTONE 3,100, , , , 
2002-05-01,NINE MILE POINT 1,100, , , , 
2002-05-01,NINE MILE POINT 2,100, , , , 
2002-05-01,OYSTER CREEK 1,100, , , , 
2002-05-01,PEACH BOTTOM 2,100, , , , 
2002-05-01,PEACH BOTTOM 3,100, , , , 
2002-05-01,PILGRIM 1,100, , , , 
2002-05-01,SALEM 1,100, , , , 
2002-05-01,SALEM 2,0,2002-04-04,REFUELING OUTAGE, , 
2002-05-01,SEABROOK 1,100, , , , 
2002-05-01,SUSQUEHANNA 1,100, , , , 
2002-05-01,SUSQUEHANNA 2,100, , , , 
2002-05-01,THREE MILE ISLAND 1,100, , , , 
2002-05-01,VERMONT YANKEE 1,91, ,POWER LIMITED DUE TO FIVE POTENTIAL FUEL FAILURES., , 
2002-05-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2002-05-01,BROWNS FERRY 2,32, ,INCREASING POWER,*, 
2002-05-01,BROWNS FERRY 3,100, , , , 
2002-05-01,BRUNSWICK 1,100, , , , 
2002-05-01,BRUNSWICK 2,100, , , , 
2002-05-01,CATAWBA 1,0,2002-04-26,REFUELING OUTAGE, , 
2002-05-01,CATAWBA 2,100, , , , 
2002-05-01,CRYSTAL RIVER 3,100, , , , 
2002-05-01,FARLEY 1,100, , , , 
2002-05-01,FARLEY 2,100, , , , 
2002-05-01,HARRIS 1,100, , , , 
2002-05-01,HATCH 1,100, , , , 
2002-05-01,HATCH 2,100, , , , 
2002-05-01,MCGUIRE 1,100, , , , 
2002-05-01,MCGUIRE 2,100, , , , 
2002-05-01,NORTH ANNA 1,100, , , , 
2002-05-01,NORTH ANNA 2,100, , , , 
2002-05-01,OCONEE 1,49, ,INCREASING POWER,*, 
2002-05-01,OCONEE 2,100, , , , 
2002-05-01,OCONEE 3,100, , , , 
2002-05-01,ROBINSON 2,100, , , , 
2002-05-01,SAINT LUCIE 1,100, , , , 
2002-05-01,SAINT LUCIE 2,100, , , , 
2002-05-01,SEQUOYAH 1,100, , , , 
