Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2005-05-01,Beaver Valley 1,100, , , , 
2005-05-01,Beaver Valley 2,90, ,HOLDING FOR NI CALIBRATION,*, 
2005-05-01,Calvert Cliffs 1,100, , , , 
2005-05-01,Calvert Cliffs 2,100, , , , 
2005-05-01,FitzPatrick,100, , , , 
2005-05-01,Ginna,100, , , , 
2005-05-01,Hope Creek 1,100, , , , 
2005-05-01,Indian Point 2,100, , , , 
2005-05-01,Indian Point 3,100, , , , 
2005-05-01,Limerick 1,100, , , , 
2005-05-01,Limerick 2,100, , , , 
2005-05-01,Millstone 2,0,2005-04-08,DEFUELED, , 
2005-05-01,Millstone 3,73, ,INCREASING POWER,*, 
2005-05-01,Nine Mile Point 1,35, ,TURBINE WARMUP,*, 
2005-05-01,Nine Mile Point 2,100, , , , 
2005-05-01,Oyster Creek,100, , , , 
2005-05-01,Peach Bottom 2,100, , , , 
2005-05-01,Peach Bottom 3,100, , , , 
2005-05-01,Pilgrim 1,0,2005-04-18,REFUELING OUTAGE, , 
2005-05-01,Salem 1,100, , , , 
2005-05-01,Salem 2,0,2005-04-05,REFUELING OUTAGE, , 
2005-05-01,Seabrook 1,6, ,INCREASING POWER,*, 
2005-05-01,Susquehanna 1,100, , , , 
2005-05-01,Susquehanna 2,73, ,INCREASING POWER,*, 
2005-05-01,Three Mile Island 1,100, , , , 
2005-05-01,Vermont Yankee,100, , , , 
2005-05-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2005-05-01,Browns Ferry 2,100, , , , 
2005-05-01,Browns Ferry 3,100, , , , 
2005-05-01,Brunswick 1,100, , , , 
2005-05-01,Brunswick 2,66, ,REDUCED POWER FOR FEED PUMP MAINTENANCE, , 
2005-05-01,Catawba 1,100, , , , 
2005-05-01,Catawba 2,100, , , , 
2005-05-01,Crystal River 3,70, ,REDUCED POWER FOR CONSENSATE PUMP AND WATERBOX MAINTENANCE,*, 
2005-05-01,Farley 1,100, , , , 
2005-05-01,Farley 2,68, ,REDUCED POWER FOR WATERBOX CLEANING,*, 
2005-05-01,Harris 1,0,2005-05-01,MANUAL TRIP ON LOSS OF A CONDENSATE PUMP - EN #41654,*,1
2005-05-01,Hatch 1,100, , , , 
2005-05-01,Hatch 2,100, , , , 
2005-05-01,McGuire 1,100, , , , 
2005-05-01,McGuire 2,100, , , , 
2005-05-01,North Anna 1,100, , , , 
2005-05-01,North Anna 2,100, , , , 
2005-05-01,Oconee 1,0,2005-04-08,REFUELING OUTAGE, , 
2005-05-01,Oconee 2,100, , , , 
2005-05-01,Oconee 3,100, , , , 
2005-05-01,Robinson 2,100, , , , 
2005-05-01,Saint Lucie 1,100, , , , 
2005-05-01,Saint Lucie 2,100, , , , 
2005-05-01,Sequoyah 1,100, , , , 
